actor,actorLabel,fields,placeOfBirthLabel,dateOfBirth,dateOfDeath,description
http://www.wikidata.org/entity/Q42786,Όντρεϊ Χέπμπορν,υποκριτική,Q80336784,1929-05-04T00:00:00Z,1993-01-20T00:00:00Z,Βρετανίδα ηθοποιός (1929-1993)
http://www.wikidata.org/entity/Q43247,Ίνγκριντ Μπέργκμαν,υποκριτική,Q10519255,1915-08-29T00:00:00Z,1982-08-29T00:00:00Z,Σουηδή ηθοποιός
http://www.wikidata.org/entity/Q86543,Q86543,"ταινία, δράμα, υποκριτική",Βιέννη,1906-06-24T00:00:00Z,1990-01-06T00:00:00Z,
http://www.wikidata.org/entity/Q87432,Q87432,"ταινία, άσμα, υποκριτική",Μόναχο,1974-11-20T00:00:00Z,,
http://www.wikidata.org/entity/Q87933,Q87933,"θέατρο, δράμα",Βιέννη,1764-04-14T00:00:00Z,1819-10-13T00:00:00Z,
http://www.wikidata.org/entity/Q88038,Q88038,"θέατρο, υποκριτική",Κολωνία,1862-02-22T00:00:00Z,1932-05-16T00:00:00Z,Γερμανίδα ηθοποιός
http://www.wikidata.org/entity/Q88317,Ζαν Πιερ Ζολά,"ταινία, υποκριτική",Βιέννη,1916-02-05T00:00:00Z,1979-01-17T00:00:00Z,Γάλλος ηθοποιός
http://www.wikidata.org/entity/Q88317,Ζαν Πιερ Ζολά,"ταινία, υποκριτική",Βιέννη,1916-05-02T00:00:00Z,1979-01-17T00:00:00Z,Γάλλος ηθοποιός
http://www.wikidata.org/entity/Q88317,Ζαν Πιερ Ζολά,"ταινία, υποκριτική",Βιέννη,1916-02-05T00:00:00Z,1979-01-18T00:00:00Z,Γάλλος ηθοποιός
http://www.wikidata.org/entity/Q88317,Ζαν Πιερ Ζολά,"ταινία, υποκριτική",Βιέννη,1916-05-02T00:00:00Z,1979-01-18T00:00:00Z,Γάλλος ηθοποιός
http://www.wikidata.org/entity/Q88461,Q88461,"θέατρο, υποκριτική, σκηνογραφία",Μπρατισλάβα,1745-01-01T00:00:00Z,1806-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q88461,Q88461,"θέατρο, υποκριτική, σκηνογραφία",Μπρατισλάβα,1745-01-01T00:00:00Z,1807-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q88849,Q88849,"ταινία, θέατρο, υποκριτική",Λεόμπεν,1899-01-01T00:00:00Z,1977-12-08T00:00:00Z,
http://www.wikidata.org/entity/Q89052,Q89052,"ταινία, θέατρο, υποκριτική, Μεταγλώττιση",Βερολίνο,1935-02-10T00:00:00Z,2010-11-06T00:00:00Z,
http://www.wikidata.org/entity/Q89376,Q89376,"θέατρο, υποκριτική",Πίλζεν,1900-05-18T00:00:00Z,1984-10-30T00:00:00Z,
http://www.wikidata.org/entity/Q95932,Q95932,"ταινία, τηλεόραση",Φράιμπουργκ,1965-11-01T00:00:00Z,,Γερμανίδα ηθοποιός
http://www.wikidata.org/entity/Q96724,Q96724,"ταινία, θέατρο, υποκριτική",Βερολίνο,1970-01-01T00:00:00Z,,
http://www.wikidata.org/entity/Q96752,Q96752,"φωτογραφία, ζωγραφική, θέατρο, σκηνογραφία",Κολωνία,1924-05-19T00:00:00Z,1971-12-31T00:00:00Z,
http://www.wikidata.org/entity/Q98910,Q98910,"θέατρο, Καμπαρέ",Τέπλιτσε,1925-08-30T00:00:00Z,2017-12-10T00:00:00Z,
http://www.wikidata.org/entity/Q99242,Q99242,"λογοτεχνία, θέατρο, δράμα, υποκριτική",Φρίντριχσχαφεν,1967-10-20T00:00:00Z,,
http://www.wikidata.org/entity/Q100409,Q100409,"ταινία, εικαστικές τέχνες, Βίντεο αρτ",Αγκριτζέντο,1972-01-01T00:00:00Z,,
http://www.wikidata.org/entity/Q125133,Βίκτορ Χάρα,"ποίηση, τέχνες του θεάματος, σύνθεση",Q187824,1932-09-28T00:00:00Z,1973-09-14T00:00:00Z,
http://www.wikidata.org/entity/Q125133,Βίκτορ Χάρα,"ποίηση, τέχνες του θεάματος, σύνθεση",Q187824,1932-09-28T00:00:00Z,1973-09-16T00:00:00Z,
http://www.wikidata.org/entity/Q125237,Q125237,ταινία,Ουάσινγκτον,1948-07-28T00:00:00Z,2019-04-12T00:00:00Z,
http://www.wikidata.org/entity/Q126513,Στιβ Έργουιν,φύση,Q7898645,1962-02-22T00:00:00Z,2006-09-04T00:00:00Z,
http://www.wikidata.org/entity/Q129307,Q129307,"ταινία, θέατρο",Βαρσοβία,1897-04-26T00:00:00Z,1984-05-15T00:00:00Z,
http://www.wikidata.org/entity/Q129619,Q129619,"μουσική, παραγωγή ταινιών",Μιντανάο,1958-12-30T00:00:00Z,,
http://www.wikidata.org/entity/Q130376,Μαρία Ζανκοβέτσκα,"ταινία, θέατρο",Q4186273,1854-08-04T00:00:00Z,1934-10-04T00:00:00Z,Ουκρανή ηθοποιός
