scientist,scientistLabel,fields,placeOfBirthLabel,dateOfBirth,dateOfDeath,description
http://www.wikidata.org/entity/Q76373,Q76373,"ιστορία της τεχνολογίας, Επεξεργασία εικόνας, ηλεκτρονικό εξάρτημα, φυσική",Γουάιτ Πλέινς,1930-05-10T00:00:00Z,,
http://www.wikidata.org/entity/Q76636,Q76636,"περιφερειακή γεωγραφία, μετάφραση, γεωγραφία, ιστορία",Χέρφορντ,1705-10-29T00:00:00Z,1783-10-22T00:00:00Z,
http://www.wikidata.org/entity/Q76998,Q76998,"Εβραϊκή λογοτεχνία, Ιουδαϊσμός",Ντέτμολντ,1794-08-10T00:00:00Z,1886-03-17T00:00:00Z,
http://www.wikidata.org/entity/Q77280,Q77280,"ιατρική, λογοτεχνία, ποίηση",Λούντβιγκσμπουργκ,1786-09-18T00:00:00Z,1862-02-21T00:00:00Z,
http://www.wikidata.org/entity/Q77530,Q77530,"χημεία τροφίμων, χημεία, αναλυτική χημεία",Φραγκφούρτη,1818-12-28T00:00:00Z,1897-06-11T00:00:00Z,
http://www.wikidata.org/entity/Q77892,Q77892,βοτανική,Όσατς,1877-04-23T00:00:00Z,1945-11-22T00:00:00Z,
http://www.wikidata.org/entity/Q78608,Q78608,χημεία,Βιέννη,1923-10-29T00:00:00Z,2015-01-30T00:00:00Z,
http://www.wikidata.org/entity/Q78655,Q78655,"Οικονομική ψυχολογία, Πειραματικά οικονομικά, Μικροοικονομία",Q699612,1956-06-21T00:00:00Z,,
http://www.wikidata.org/entity/Q78655,Q78655,"Οικονομική ψυχολογία, Πειραματικά οικονομικά, Μικροοικονομία",Q699612,1956-01-01T00:00:00Z,,
http://www.wikidata.org/entity/Q78755,Q78755,"εξελικτική βιολογία, ανθρώπινη συμπεριφορά, κοινωνιοβιολογία, ηθολογία, ζωολογία",Βιέννη,1928-06-15T00:00:00Z,2018-06-02T00:00:00Z,
http://www.wikidata.org/entity/Q80553,Q80553,"γεωμετρία, άλγεβρα, μαθηματικά",Σικάγο,1930-11-12T00:00:00Z,2017-07-13T00:00:00Z,
http://www.wikidata.org/entity/Q85700,Βίκτορ Χάμπουργκερ,εμβρυολογία,Καμιένα Γκούρα,1900-07-09T00:00:00Z,2001-06-12T00:00:00Z,
http://www.wikidata.org/entity/Q85715,Q85715,Ψηφιακές Ανθρωπιστικές Επιστήμες,Βόννη,1962-01-01T00:00:00Z,,
http://www.wikidata.org/entity/Q85835,Q85835,"Χωροταξία, επιστήμονας",Φίλλαχ,1940-09-21T00:00:00Z,,
http://www.wikidata.org/entity/Q87508,Q87508,"μηχανολογία, Μηχανή",Στόλμπεργκ,1847-03-08T00:00:00Z,1931-10-10T00:00:00Z,
http://www.wikidata.org/entity/Q87864,Q87864,μετεωρολογία,Αμβούργο,1866-05-15T00:00:00Z,1950-12-29T00:00:00Z,
http://www.wikidata.org/entity/Q88628,Q88628,αεροναυπηγική,Κολωνία,1903-09-08T00:00:00Z,1986-06-01T00:00:00Z,
http://www.wikidata.org/entity/Q89516,Q89516,ορυκτολογία,Πράγα,1855-12-31T00:00:00Z,1931-06-18T00:00:00Z,
http://www.wikidata.org/entity/Q91082,Q91082,"λουτροθεραπεία, φαρμακευτική, ιατρική",Χίλντεσχαϊμ,1762-03-18T00:00:00Z,1845-04-29T00:00:00Z,
http://www.wikidata.org/entity/Q91657,Q91657,"ορυκτολογία, ηλεκτρισμός, φυσική, μαθηματικά, αστρονομία",Δρέσδη,1693-06-29T00:00:00Z,1743-05-02T00:00:00Z,
http://www.wikidata.org/entity/Q91673,Q91673,"τεχνική, φυσική φιλοσοφία, μηχανική, οπτική, φυσική, μαθηματικά",Q571926,1608-02-05T00:00:00Z,1666-05-22T00:00:00Z,
http://www.wikidata.org/entity/Q92826,Q92826,"πληροφορική, Αλληλεπίδραση ανθρώπου-υπολογιστή, Φιλοσοφία του νου, Επιστήμη υπολογιστών, Τεχνητή νοημοσύνη",Q754271,1946-02-24T00:00:00Z,,
http://www.wikidata.org/entity/Q93152,Q93152,Ψηφιακές Ανθρωπιστικές Επιστήμες,Λουξεμβούργο,1959-12-26T00:00:00Z,,
http://www.wikidata.org/entity/Q93592,Λέο Κόνερ,ψυχιατρική,Q4223256,1894-06-13T00:00:00Z,1981-04-03T00:00:00Z,
http://www.wikidata.org/entity/Q94547,Q94547,"φροντίδα υγείας, στρατόπεδο συγκέντρωσης, δίκαιο, Β΄ Παγκόσμιος Πόλεμος",Βιέννη,1908-11-18T00:00:00Z,2002-12-30T00:00:00Z,
http://www.wikidata.org/entity/Q100282,Q100282,"υδραυλική, Ανάχωμα, Στρόβιλος",Q177362,1757-01-01T00:00:00Z,1837-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q101640,Q101640,"ενσυναίσθηση, Ιστορία της Τέχνης, φιλοσοφία",Τύμπινγκεν,1847-02-22T00:00:00Z,1933-03-24T00:00:00Z,
http://www.wikidata.org/entity/Q101740,Μπενουά Μάντελμπροτ,Φράκταλ,Βαρσοβία,1924-11-20T00:00:00Z,2010-10-14T00:00:00Z,
http://www.wikidata.org/entity/Q102065,Q102065,φυσική,Q1867060,1846-01-01T00:00:00Z,1899-01-01T00:00:00Z,
